duration_ms,is_key_down,label
114.21181075420733,1,1
37.87811351690599,0,2
102.79082996541466,1,1
38.75595985031519,0,2
97.87006372969475,1,1
35.10019499711281,0,2
31.11512753118227,1,0
41.656948386430855,0,2
36.35249922142548,1,0
130.377806926783,0,3
118.2534363099396,1,1
38.36635522859932,0,2
105.90466944154437,1,1
33.938173464095364,0,2
115.76463476795901,1,1
257.7868891877574,0,4
33.0702248802023,1,0
32.54401569828584,0,2
102.5936315658177,1,1
42.43428700711826,0,2
43.596738136992705,1,0
112.93800497246924,0,3
37.479931383778826,1,0
36.04205388402654,0,2
34.26963838371205,1,0
41.113377409794104,0,2
127.77051781976243,1,1
34.39132133574733,0,2
36.79314335236242,1,0
249.93925108449827,0,4
107.38018613090344,1,1
40.55255135556694,0,2
33.15114317090296,1,0
38.42079153449514,0,2
39.196434403785915,1,0
109.85218295132532,0,3
39.68483937826993,1,0
37.4761061683455,0,2
40.64506390052484,1,0
32.52817239705236,0,2
36.005148950604095,1,0
36.82581209626014,0,2
87.36184489508753,1,1
101.46248154837275,0,3
103.883503576314,1,1
39.84821862509175,0,2
104.83248504601391,1,1
34.61456068222572,0,2
39.46088311916204,1,0
32.24458904416398,0,2
30.901322194811442,1,0
107.90151280554221,0,3
32.74891812214694,1,0
32.86159687462379,0,2
38.73773558438773,1,0
118.9025651499881,0,3
39.37607490220406,1,0
40.32400364693341,0,2
40.71619104819444,1,0
30.731400527934156,0,2
38.373211063462065,1,0
35.46932502931396,0,2
34.823916902670646,1,0
270.8941106785933,0,4
31.91158288398824,1,0
31.84991175889504,0,2
38.91593259622648,1,0
38.483953687272624,0,2
37.443751662626035,1,0
34.431339858218216,0,2
39.24263347211091,1,0
39.05439813979097,0,2
37.29136555255099,1,0
100.6502845233525,0,3
35.778552466274824,1,0
118.56352718831629,0,3
122.91355568822685,1,1
108.21313215456526,0,3
36.29879777239833,1,0
36.559501696882386,0,2
113.55939886566127,1,1
35.316847183021004,0,2
28.462875572057932,1,0
284.01016245540933,0,4
42.35642215500567,1,0
35.22400604991069,0,2
101.63403869939727,1,1
109.89707952424133,0,3
36.48301024319739,1,0
39.988409972957186,0,2
111.60150671898806,1,1
34.68998951691808,0,2
33.132037460010324,1,0
118.81065324208478,0,3
116.44501609077633,1,1
40.181133075211214,0,2
34.1697781605874,1,0
127.45815357106135,0,3
31.871880386577068,1,0
39.14121107705085,0,2
31.38033886349763,1,0
34.69677928112259,0,2
41.6640491706179,1,0
39.50200625924234,0,2
106.26030471198521,1,1
106.5037227458301,0,3
112.01025881326066,1,1
38.56204579385708,0,2
122.24142206604613,1,1
35.68673923038836,0,2
32.26273968395222,1,0
112.51113788167207,0,3
35.68319290911166,1,0
33.184708560194075,0,2
113.76185991467413,1,1
36.407125942078096,0,2
37.946823422005274,1,0
34.38828383166192,0,2
38.480766924033816,1,0
99.40776846149741,0,3
34.58595976394218,1,0
108.9564735134511,0,3
126.59928633677065,1,1
39.36410744197848,0,2
120.6912510337688,1,1
41.2375248014771,0,2
47.71410964986289,1,0
111.48549849604538,0,3
123.74212133886051,1,1
40.03912819492796,0,2
119.96979834414115,1,1
42.29582899202777,0,2
107.38841797960225,1,1
106.68285936552225,0,3
37.986094137781464,1,0
36.49724524953607,0,2
37.98234683740103,1,0
125.00748908937945,0,3
35.621809917008825,1,0
36.135810165966234,0,2
112.6652988477443,1,1
36.36207316020388,0,2
31.367232944798943,1,0
105.95889441158718,0,3
39.075348209987595,1,0
41.29817837727854,0,2
100.85209280996406,1,1
33.60354492597965,0,2
111.38455854700503,1,1
30.888429806260547,0,2
107.16034459948223,1,1
95.68366578725713,0,3
123.28574986440363,1,1
34.75900480405586,0,2
41.93609400681388,1,0
40.338062590562544,0,2
35.12350569404155,1,0
33.86228996065524,0,2
36.46510766384949,1,0
36.728523599501585,0,2
