duration_ms,label
85.67510052721826,2
372.4423153707532,1
91.68297275634515,2
81.96643914757358,2
99.02082431500459,2
104.71929569017634,0
333.2499123445694,1
105.40155364422573,0
112.13604868964818,2
122.59199315409207,0
336.4032238352005,1
87.39618653941193,0
114.98854864386135,0
301.80466392435005,1
136.23725963161442,2
300.02763797695434,1
111.81915708479251,2
304.0407889872469,1
263.2299259369571,1
85.07945767465571,2
333.84726538442516,1
88.70869017281638,2
86.83051935460452,0
125.00804872174106,0
94.60658895809269,0
286.65256203639495,1
604.460488783844,3
274.2760964781942,1
79.43499890623312,0
337.7358373503016,1
115.82555250321892,2
84.39439904733148,0
99.54153903238536,2
727.7507417910725,3
124.84315175469992,0
103.12256443717152,0
690.029149369794,3
318.3260386921581,1
127.5866400515294,2
273.32518153895353,1
107.67201030083655,0
335.022217964073,1
104.18372647299807,0
104.47620632036606,0
116.0433852349449,0
97.65286263162152,0
77.0367968069124,0
103.86346797704057,2
317.211413586213,1
93.69901896939507,0
106.5081016273734,0
95.59351285647674,2
218.66998202461386,1
260.25105173024986,1
74.29744043306613,0
92.25728775122958,0
724.5244463275936,3
99.43879698522248,2
91.02837075944741,2
114.56829307263938,0
103.6299071301279,2
319.03586273698505,1
314.0831532432945,1
79.11194414043601,0
272.90278886741083,1
326.93506658633333,1
95.5225225001587,0
104.99523852010968,0
122.4406545445476,0
112.2308181900353,2
100.30071756040833,2
93.17596720603406,0
852.8392781818313,3
114.65913780164868,0
282.1291730544326,1
103.04258833605543,0
74.87821188410823,0
95.26788199801813,2
253.32465935054674,1
78.28950886273405,0
99.31110405378226,2
747.8474339428062,3
79.94454247450797,2
700.4492247764299,3
89.43288799636319,0
101.1353793837948,2
108.03600980480434,0
625.4532627877519,3
314.84801221181937,1
266.85613693704596,1
279.13617193025226,1
339.73971631229995,1
100.50970943628784,0
325.77479152506794,1
110.53515926114447,0
93.44256317789105,0
103.21341478785476,0
366.91476198586224,1
825.2884780812692,3
105.7694988629725,2
99.28907366974728,2
92.63863081142388,0
283.44880920073666,1
600.0155332431921,3
117.17183322628304,0
108.47935046694786,2
76.32091615340713,2
